iter	Passed	Remaining
0	140	140620
1	141	70669
2	142	47347
3	143	35682
4	144	28664
5	144	23976
6	145	20654
7	146	18157
8	147	16215
9	148	14664
10	148	13393
11	149	12324
12	150	11431
13	151	10662
14	152	9997
15	153	9411
16	153	8892
17	154	8431
18	155	8038
19	156	7674
20	157	7338
21	158	7038
22	159	6762
23	160	6508
24	160	6277
25	161	6062
26	162	5865
27	163	5683
28	164	5508
29	165	5345
30	166	5195
31	167	5053
32	167	4918
33	168	4791
34	169	4669
35	170	4554
36	170	4444
37	171	4342
38	172	4248
39	173	4155
40	173	4066
41	174	3981
42	175	3910
43	176	3831
44	177	3759
45	178	3692
46	178	3623
47	179	3557
48	180	3495
49	180	3435
50	181	3376
51	182	3321
52	182	3269
53	183	3218
54	184	3169
55	185	3120
56	185	3073
57	186	3026
58	187	2982
59	187	2941
60	188	2902
61	189	2865
62	190	2831
63	191	2795
64	191	2759
65	192	2728
66	193	2696
67	194	2664
68	195	2634
69	195	2603
70	196	2573
71	197	2543
72	198	2518
73	199	2490
74	199	2463
75	200	2435
76	201	2410
77	201	2385
78	202	2361
79	203	2337
80	203	2313
81	204	2291
82	205	2265
83	205	2243
84	206	2221
85	207	2200
86	207	2180
87	208	2161
88	209	2141
89	209	2122
90	210	2103
91	211	2084
92	211	2066
93	212	2048
94	213	2031
95	213	2013
96	214	1996
97	215	1980
98	215	1964
99	216	1948
100	217	1932
101	217	1916
102	218	1902
103	219	1887
104	219	1873
105	220	1859
106	221	1846
107	221	1832
108	222	1819
109	223	1806
110	223	1793
111	224	1780
112	225	1768
113	225	1756
114	226	1746
115	227	1734
116	228	1721
117	228	1709
118	229	1697
119	230	1687
120	230	1675
121	231	1664
122	232	1654
123	232	1644
124	233	1633
125	234	1624
126	234	1613
127	235	1603
128	235	1593
129	236	1583
130	237	1574
131	238	1565
132	238	1557
133	239	1547
134	240	1538
135	240	1530
136	241	1521
137	242	1513
138	243	1505
139	243	1496
140	244	1488
141	244	1479
142	245	1471
143	246	1463
144	246	1455
145	247	1448
146	248	1441
147	249	1434
148	249	1426
149	250	1419
150	251	1411
151	251	1403
152	252	1396
153	253	1390
154	253	1383
155	254	1376
156	255	1370
157	256	1364
158	256	1358
159	257	1351
160	257	1343
161	258	1336
162	259	1330
163	259	1324
164	260	1318
165	261	1312
166	261	1305
167	262	1299
168	263	1293
169	263	1287
